"contrast","estimate","SE","df","z.ratio","p.value"
"FWC - MML",-1.29836894153454,0.180929841594987,Inf,-7.17609063319115,4.33297842050706e-12
"FWC - RR",-0.125402048017931,0.166585253107666,Inf,-0.752780007104722,0.875512212665673
"FWC - UM",-0.400859037575256,0.175547544873939,Inf,-2.28347846085294,0.101850222001895
"MML - RR",1.17296689351661,0.195666779334827,Inf,5.99471661722105,1.22207319819267e-08
"MML - UM",0.897509903959286,0.199437262508201,Inf,4.500211709045,4.0179228454007e-05
"RR - UM",-0.275456989557325,0.189796270282409,Inf,-1.45132983460348,0.46725137782754
