contrast,ratio,SE,df,null,z.ratio,p.value
Region1 Offshore / Region3 Offshore,0.7216193410600381,0.2985114281027385,Inf,1,-0.7886925104549902,0.9997556289288149
Region1 Offshore / Region4 Offshore,1.7502937942369619,0.8146734614280282,Inf,1,1.2026731028650088,0.9888907656085097
Region1 Offshore / Region5 Offshore,0.33720024326428255,0.12725914262035656,Inf,1,-2.88044591734516,0.1477681017878194
Region1 Offshore / Region6 Offshore,0.4180936625498233,0.15839142850335172,Inf,1,-2.301882732002795,0.4751100792143603
Region2 Offshore / Region3 Offshore,1.1094195036866366,0.31234205458502223,Inf,1,0.36882222620609256,0.9999999050819797
Region2 Offshore / Region4 Offshore,2.690906357437298,1.0018199553843519,Inf,1,2.658830246530384,0.2471208323925349
Region2 Offshore / Region5 Offshore,0.5184125552618037,0.12873059124166972,Inf,1,-2.6457480451751874,0.2540930576854513
Region2 Offshore / Region6 Offshore,0.6427783142829621,0.16553628447922114,Inf,1,-1.7161152090585732,0.8612538944281506
Region3 Offshore / Region4 Offshore,2.425508428953457,0.9010858828878895,Inf,1,2.38501163107821,0.41619440773497074
Region3 Offshore / Region5 Offshore,0.4672827127512202,0.1152611393354412,Inf,1,-3.0844603874302865,0.08591121809352131
Region3 Offshore / Region6 Offshore,0.5793825619136755,0.14893679996531925,Inf,1,-2.1231994768808082,0.605948272308523
Region4 Offshore / Region5 Offshore,0.19265351015615323,0.06304795098381974,Inf,1,-5.032260965211119,3.1199280532301366e-5
Region4 Offshore / Region6 Offshore,0.23887056214587718,0.07827483520571424,Inf,1,-4.369512389693434,7.61761567064867e-4
Region5 Offshore / Region6 Offshore,1.2398972743982868,0.22680147014648255,Inf,1,1.1755359952489495,0.9907959189070118
