effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),-2.624574010081829,0.43430703843488516,-6.043130269175517,1.5115251339809646e-9
fixed,cond,SpeciesO. faveolata,0.03357362212779505,0.23249093154358685,0.14440830833653717,0.8851780564736714
fixed,cond,SpeciesP. clivosa,-0.3356824996188717,0.2680715617053296,-1.252212273034249,0.21049252506006552
fixed,cond,Region2,6.2734288186096165,0.6794689548189171,9.232840991655793,2.635471505896429e-20
fixed,cond,Region3,4.955848852366338,0.5378309107576869,9.214511016826133,3.1270027016812726e-20
fixed,cond,Region4,3.9550137134704033,0.4888191163062026,8.090955491587058,5.919848594299054e-16
fixed,cond,Region5,4.018181849105234,0.505592990578806,7.947463521013601,1.9036903821821493e-15
fixed,cond,Region6,2.636890222177698,0.4659893879845103,5.658691571459884,1.5253139068112704e-8
fixed,cond,STRATAOffshore,0.7800559094514544,0.294140052454468,2.6519880680724524,0.008001936963034417
