comparison,Z,p_unadj,p_adj
1 - 2,-2.108,0.035,0.14
1 - 3,-3.326,8.81e-4,0.00617
2 - 3,-1.201,0.23,0.69
1 - 4,-2.352,0.0187,0.0933
2 - 4,-0.222,0.825,0.825
3 - 4,0.99,0.322,0.644
1 - 5,-8.817,1.17e-18,1.41e-17
2 - 5,-6.653,2.88e-11,2.88e-10
3 - 5,-5.475,4.39e-8,3.51e-7
4 - 5,-6.498,8.15e-11,7.34e-10
1 - 6,-12.03,2.4600000000000002e-33,3.6899999999999996e-32
2 - 6,-9.833,8.13e-23,1.1400000000000001e-21
3 - 6,-8.663,4.58e-18,5.04e-17
4 - 6,-9.711,2.71e-22,3.53e-21
5 - 6,-3.165,0.00155,0.0093
