Species,PRED_1.trend,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
M. cavernosa,-7.174485850018562,2.3885513755000853,Inf,-11.855960521222336,-2.493011178814789,-3.0036975229458722,0.002667203517066586
O. faveolata,0.3290285096464469,1.7338685389667952,Inf,-3.069291380655554,3.727348399948448,0.1897655458022865,0.8494928557301
P. clivosa,-3.5270259005606195,1.7543355619231622,Inf,-6.965460418727854,-0.0885913823933846,-2.010462523312344,0.04438225885557283
