contrast,estimate,SE,df,z.ratio,p.value
Region1 - Region2,-6.2734288186096165,0.6794689548189171,Inf,-9.232840991655793,6.661338147750939e-14
Region1 - Region3,-4.955848852366338,0.5378309107576869,Inf,-9.214511016826133,6.727951529228449e-14
Region1 - Region4,-3.9550137134704033,0.4888191163062026,Inf,-8.090955491587058,8.471001677889944e-14
Region1 - Region5,-4.018181849105234,0.505592990578806,Inf,-7.947463521013601,1.1168843627729075e-13
Region1 - Region6,-2.636890222177698,0.4659893879845103,Inf,-5.658691571459884,2.2807292554549718e-7
Region2 - Region3,1.3175799662432786,0.6901696791019143,Inf,1.9090667210384902,0.39643506583352817
Region2 - Region4,2.3184151051392132,0.6583297487497624,Inf,3.521662372909819,0.005731255860570328
Region2 - Region5,2.255246969504382,0.6631111666307954,Inf,3.401008885075902,0.008791493537657291
Region2 - Region6,3.6365385964319183,0.6448486296368022,Inf,5.639367797804152,2.5517098067862065e-7
Region3 - Region4,1.0008351388959347,0.5086325525981192,Inf,1.9676977688188089,0.36103113748289695
Region3 - Region5,0.9376670032611036,0.5117214320552946,Inf,1.832377822236265,0.44473186824357636
Region3 - Region6,2.31895863018864,0.4920793429667807,Inf,4.712570570850376,3.601709909906159e-5
Region4 - Region5,-0.06316813563483104,0.47168676410765276,Inf,-0.13391966966538457,0.9999940282949467
Region4 - Region6,1.3181234912927051,0.4406904264513013,Inf,2.9910418111575767,0.033155672384038715
Region5 - Region6,1.3812916269275362,0.45502312521224286,Inf,3.035651487566134,0.028976069813880012
