contrast,ratio,SE,df,null,z.ratio,p.value
Region1 Inshore / Region2 Inshore,0.9578668467953275,0.33413500948760094,Inf,1,-0.12340166542702861,0.9999999999994491
Region1 Inshore / Region3 Inshore,0.20381151971540334,0.06633187313951533,Inf,1,-4.887158482054198,6.536821675673377e-5
Region1 Inshore / Region4 Inshore,0.14547074228115406,0.04722561199331312,Inf,1,-5.938210620469773,1.8935328927049966e-7
Region1 Inshore / Region5 Inshore,0.1878162806409381,0.06108011488003264,Inf,1,-5.142156019254065,1.7560446971209842e-5
Region1 Inshore / Region6 Inshore,0.2740554276480042,0.08944583758640291,Inf,1,-3.9660221173896772,0.00419634768416155
Region1 Inshore / Region1 Offshore,0.7199379562894075,0.2870768498770113,Inf,1,-0.8240462013821755,0.9996266289336266
Region1 Inshore / Region2 Offshore,0.3433356774851909,0.1134158308006543,Inf,1,-3.236248910572655,0.05510112206455364
Region1 Inshore / Region3 Offshore,0.09361766701461774,0.030287620063355537,Inf,1,-7.321038410094792,1.6316170636798688e-11
Region1 Inshore / Region4 Offshore,0.12779650679396265,0.04139695307307969,Inf,1,-6.351139098432353,1.4080834720431312e-8
Region1 Inshore / Region5 Offshore,0.1363345163621784,0.04420609157260619,Inf,1,-6.145445347373771,5.248086143438968e-8
Region1 Inshore / Region6 Offshore,0.2435302483335763,0.07921674896213891,Inf,1,-4.3423886889835375,8.593691569392936e-4
Region2 Inshore / Region3 Inshore,0.2127764630306208,0.051490236873438996,Inf,1,-6.394889421261743,1.0586695520231615e-8
Region2 Inshore / Region4 Inshore,0.1518694824524369,0.03660172905991591,Inf,1,-7.82021924567113,4.168887457467463e-13
Region2 Inshore / Region5 Inshore,0.19607765032196567,0.047388632649372965,Inf,1,-6.741246160282686,1.0357316115872095e-9
Region2 Inshore / Region6 Inshore,0.2861101504503403,0.06962452773925422,Inf,1,-5.14232662210108,1.7544615633857674e-5
Region2 Inshore / Region1 Offshore,0.7516054644735402,0.2579617154657354,Inf,1,-0.831969331982045,0.9995907165607807
Region2 Inshore / Region2 Offshore,0.3584377918850273,0.08840758657318026,Inf,1,-4.159792673037007,0.001893337649695681
