contrast,ratio,SE,df,null,z.ratio,p.value
Region2 Inshore / Region3 Offshore,0.09773557496830404,0.023403744007265324,Inf,1,-9.711397847067781,1.4055423491754482e-13
Region2 Inshore / Region4 Offshore,0.133417820255,0.03201711697839595,Inf,1,-8.393618186285671,1.2445600106048005e-13
Region2 Inshore / Region5 Offshore,0.14233138647433502,0.034218877306636274,Inf,1,-8.109233821656098,1.8174350913113813e-13
Region2 Inshore / Region6 Offshore,0.2542422771477471,0.061499310649306284,Inf,1,-5.661471037610353,9.829803013783334e-7
Region3 Inshore / Region4 Inshore,0.7137513251669253,0.1463162128559811,Inf,1,-1.6450104143680253,0.892374562334826
Region3 Inshore / Region5 Inshore,0.9215194553438366,0.1895510665629627,Inf,1,-0.3973444561130433,0.9999997895519193
Region3 Inshore / Region6 Inshore,1.3446513132853701,0.2793364043143129,Inf,1,1.4255140083419384,0.9587763305905201
Region3 Inshore / Region1 Offshore,3.5323712678003116,1.1278682124470505,Inf,1,3.9523628508522877,0.004431029679187182
Region3 Inshore / Region2 Offshore,1.6845744439009884,0.3606656089144328,Inf,1,2.435850301281638,0.38153039814796474
Region3 Inshore / Region3 Offshore,0.45933452213762405,0.09335452029109927,Inf,1,-3.8278968773658613,0.007199729201134986
Region3 Inshore / Region4 Offshore,0.627032794674286,0.12770782857227356,Inf,1,-2.2917278879887633,0.4824526670471886
Region3 Inshore / Region5 Offshore,0.6689244874507195,0.13660535968988505,Inf,1,-1.9689117648078227,0.7147829412786854
Region3 Inshore / Region6 Offshore,1.194879703922698,0.24613472416252696,Inf,1,0.8643354648459098,0.9994111436896453
Region4 Inshore / Region5 Inshore,1.291093162073388,0.26421752074778243,Inf,1,1.2484427645295992,0.9849721220874214
Region4 Inshore / Region6 Inshore,1.8839212844486082,0.389358606158058,Inf,1,3.064505802332669,0.09084623150281301
Region4 Inshore / Region1 Offshore,4.949022360097468,1.5766121790593806,Inf,1,5.019894835728423,3.325769439932458e-5
Region4 Inshore / Region2 Offshore,2.360169970272232,0.502798835041461,Inf,1,4.03095075608794,0.003230006242054273
Region4 Inshore / Region3 Offshore,0.6435497994069563,0.130095509642841,Inf,1,-2.180308531067668,0.5640675364899874
Region4 Inshore / Region4 Offshore,0.8785031600854003,0.1779940246165401,Inf,1,-0.6393337486744602,0.9999697382052051
Region4 Inshore / Region5 Offshore,0.9371954402946683,0.19039512674392384,Inf,1,-0.3192819007654165,0.999999979863239
Region4 Inshore / Region6 Offshore,1.674084042706682,0.3430528728498054,Inf,1,2.514477943402705,0.33056577767700146
Region5 Inshore / Region6 Inshore,1.4591675796835508,0.3026301821533382,Inf,1,1.821926653455434,0.8062468784491037
Region5 Inshore / Region1 Offshore,3.833203137835344,1.2230473367721362,Inf,1,4.211348080589992,0.001520721314837381
Region5 Inshore / Region2 Offshore,1.8280400203514329,0.3907542304245192,Inf,1,2.8221187559997776,0.1704983312131365
Region5 Inshore / Region3 Offshore,0.49845341785674785,0.10113551096309678,Inf,1,-3.4314927138837965,0.02964903836663202
Region5 Inshore / Region4 Offshore,0.6804335937110824,0.1383481735155098,Inf,1,-1.8936569179171545,0.7635472273787237
Region5 Inshore / Region5 Offshore,0.7258929625106297,0.1479824651196252,Inf,1,-1.5714144052213224,0.9195070299758774
Region5 Inshore / Region6 Offshore,1.2966407784378957,0.2666495720400838,Inf,1,1.2632209527265312,0.9834966883294133
Region6 Inshore / Region1 Offshore,2.626979375916952,0.8415293192462671,Inf,1,3.0150200046174476,0.10407239861915307
Region6 Inshore / Region2 Offshore,1.2527964887678489,0.27020892341214925,Inf,1,1.0449435517880181,0.9966453738266636
Region6 Inshore / Region3 Offshore,0.3416012148274616,0.06999680032002502,Inf,1,-5.241921200216909,1.0309934986518776e-5
Region6 Inshore / Region4 Offshore,0.4663162772973943,0.09577507596343768,Inf,1,-3.714416992785341,0.011022082617814122
Region6 Inshore / Region5 Offshore,0.497470593931407,0.10244060169792395,Inf,1,-3.3906803669199235,0.033898045412457445
Region6 Inshore / Region6 Offshore,0.8886167678691831,0.18452944076649735,Inf,1,-0.5686683890729183,0.9999908785044989
Region1 Offshore / Region2 Offshore,0.4768962026321801,0.15472350462770434,Inf,1,-2.282270260140945,0.4893128592122037
Region1 Offshore / Region3 Offshore,0.1300357429369711,0.04126623162743814,Inf,1,-6.428158639189939,8.511742533023892e-9
Region1 Offshore / Region4 Offshore,0.1775104447230864,0.05641085980827784,Inf,1,-5.439854872387098,3.4780650528531964e-6
Region1 Offshore / Region5 Offshore,0.1893698132889848,0.060242140341223056,Inf,1,-5.230914725719863,1.0939288364375521e-5
Region1 Offshore / Region6 Offshore,0.33826560498177105,0.10799379209511623,Inf,1,-3.395141141107038,0.03340916454939835
Region2 Offshore / Region3 Offshore,0.27267095485191967,0.05763128311691146,Inf,1,-6.148276158401847,5.155381332944131e-8
Region2 Offshore / Region4 Offshore,0.37222029394097833,0.07884010926600567,Inf,1,-4.665822186713591,1.9353819174527942e-4
Region2 Offshore / Region5 Offshore,0.3970881131864279,0.08431179164162399,Inf,1,-4.349918473487838,8.311510793944654e-4
Region2 Offshore / Region6 Offshore,0.7093065600328717,0.15179546854727477,Inf,1,-1.6049472783273426,0.9077814278046518
Region3 Offshore / Region4 Offshore,1.365089633925701,0.2741700286081965,Inf,1,1.5495615042519595,0.9265838527357634
Region3 Offshore / Region5 Offshore,1.4562904706959932,0.29328071209927925,Inf,1,1.8665003859761085,0.7801849077491059
Region3 Offshore / Region6 Offshore,2.6013278914069793,0.5284975242232036,Inf,1,4.70565459433015,1.5981123061936664e-4
Region4 Offshore / Region5 Offshore,1.066809412732861,0.2153095719762653,Inf,1,0.32043655475869504,0.9999999790639826
Region4 Offshore / Region6 Offshore,1.9056095854498036,0.3880103336161267,Inf,1,3.1667733297635086,0.0678059465991403
Region5 Offshore / Region6 Offshore,1.7862699397900668,0.3646811508135647,Inf,1,2.8415729379214105,0.16265112922679037
