Term,Chisq,Df,Pr(>Chisq)
Region_name,33.2706107960376,5,3.3253030681304823e-6
STRATA,33.782584303661,1,6.1628106062534825e-9
Region_name:STRATA,29.793958903218904,5,1.619166359051926e-5
