effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),-3.0309580309245594,0.6310585054938237,-4.802974691788262,1.5632565056349196e-6
fixed,cond,Region2,0.4769690000261224,0.6148453683865813,0.7757544002937503,0.43789401272110273
fixed,cond,Region3,0.3226870665706298,0.617100598600535,0.522908367456492,0.6010380214448852
fixed,cond,Region4,0.4762309317588807,0.6196373083210724,0.7685640056910775,0.44215218025992753
fixed,cond,Region5,0.20605015565104823,0.6233276360752212,0.3305647683912137,0.7409732621448437
fixed,cond,Region6,0.09719821075332126,0.6272931628853597,0.1549486213212316,0.8768618222237645
fixed,cond,GenotypeName_AllysonCRF_OFAV_15,0.8134418679381907,0.205518464417828,3.9579989576237193,7.558028752722095e-5
fixed,cond,GenotypeName_AllysonCRF_OFAV_24,0.27190290944021467,0.2559342574730639,1.0623935698363138,0.288057051702719
fixed,cond,GenotypeName_AllysonCRF_OFAV_33,0.35133699521428463,0.26372375993875974,1.3322159341876132,0.18278924198547455
fixed,cond,GenotypeName_AllysonCRF_OFAV_34,-0.16576319430427303,0.22263956931860027,-0.744536089481307,0.4565522162050075
fixed,cond,GenotypeName_AllysonCRF_OFAV_35,-0.006906206456820709,0.23171958025498696,-0.029804155735225473,0.9762232444431159
fixed,cond,GenotypeName_AllysonCRF_OFAV_36,1.1166781718065704,0.2037363162472225,5.480997165235601,4.229352599276044e-8
fixed,cond,GenotypeName_AllysonCRF_OFAV_39,0.19168433076382912,0.23031331322400522,0.8322763807292151,0.40525295932294897
fixed,cond,GenotypeName_AllysonCRF_OFAV_7,0.24057711546983038,0.22715684178643067,1.0590793285285118,0.2895636533176989
fixed,cond,GenotypeName_AllysonMML_OFAV_61,0.07706214635160652,0.21260471942341155,0.36246677195407834,0.717003249885567
fixed,cond,GenotypeName_AllysonMML_OFAV_CLONE_2,0.28502727156759766,0.19099976317788406,1.4922912302364628,0.1356228147667167
fixed,cond,GenotypeName_AllysonMML_OFAV_CLONE_3,0.36348540203143004,0.203046895743394,1.790154932931329,0.07342900779913542
fixed,cond,GenotypeName_AllysonRR_OFAV_50,-0.0011777411092736092,0.21638506247613362,-0.005442802270159056,0.9956572935426071
fixed,cond,GenotypeName_AllysonRR_OFAV_51,-0.008802450536439988,0.2539194806348596,-0.034666306478068364,0.9723458283050607
fixed,cond,GenotypeName_AllysonRR_OFAV_52,-0.08404763071524429,0.2561059082388025,-0.32817529003225965,0.7427791298682549
fixed,cond,GenotypeName_AllysonRR_OFAV_93,-0.12202419254413316,0.27424229000865663,-0.4449503121501844,0.6563556623953181
fixed,zi,(Intercept),4.816240658830801,0.7099635599089408,6.783785719155118,1.170669268070388e-11
fixed,zi,Region2,-5.400397466522894,0.721788354240364,-7.481968134837069,7.321770155656585e-14
fixed,zi,Region3,-5.494998703830378,0.7249692034235115,-7.57963052482978,3.465404112071606e-14
fixed,zi,Region4,-3.7122664864816626,0.7249309498393977,-5.120855286015977,3.041529940645591e-7
fixed,zi,Region5,-3.6310878870567875,0.7253818006306553,-5.005760943960653,5.564177787952691e-7
fixed,zi,Region6,-3.1378100218050653,0.7295904473361956,-4.300782765538542,1.7019584315093233e-5
