effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),-2.5488561858728622,0.19589338589271274,-13.011445865093295,1.0533009979824525e-38
fixed,cond,SourceNurseryMML,0.5224122458982192,0.18098366421209836,2.886516018849049,0.003895329175145812
fixed,cond,SourceNurseryUM,0.2504138836426747,0.15703522873501266,1.5946350743070066,0.11079386448535426
fixed,zi,(Intercept),4.672828834463153,1.00466195082171,4.651145423235407,3.3009644402222983e-6
fixed,zi,Region2,-4.796881483133732,1.0221938316928862,-4.692731783745428,2.6958083120853968e-6
fixed,zi,Region3,-6.204305205427488,1.041805714797506,-5.955338041732098,2.5953480813947087e-9
fixed,zi,Region4,-4.971321823019264,1.0233346476444038,-4.857962968871095,1.1859958320574628e-6
fixed,zi,Region5,-4.274481194123044,1.0222073899551811,-4.181618364459739,2.8944150483050462e-5
fixed,zi,Region6,-3.5974734079595136,1.0274206056898147,-3.5014612204941655,4.627143058201807e-4
