Term,Chisq,Df,Pr(>Chisq)
Region,61.226323661309536,5,6.7795324216814165e-12
STRATA,22.305947046477822,1,2.324854988025191e-6
MI_CORRECTED,7.618489131807862,1,0.005777286990710196
Region:STRATA,27.403048566619677,5,4.760454910576627e-5
