contrast,estimate,SE,df,z.ratio,p.value
FWC - MML,-1.2983689415345412,0.1809298415949866,Inf,-7.176090633191146,4.332978420507061e-12
FWC - RR,-0.12540204801793084,0.1665852531076662,Inf,-0.7527800071047218,0.875512212665673
FWC - UM,-0.40085903757525554,0.17554754487393903,Inf,-2.283478460852945,0.10185022200189464
MML - RR,1.1729668935166104,0.19566677933482665,Inf,5.994716617221054,1.2220731981926747e-8
MML - UM,0.8975099039592856,0.19943726250820068,Inf,4.500211709044998,4.017922845400701e-5
RR - UM,-0.27545698955732467,0.18979627028240856,Inf,-1.4513298346034762,0.4672513778275398
