contrast,estimate,SE,df,z.ratio,p.value
M. cavernosa - O. faveolata,0.41630297630391905,0.09221003974527202,Inf,4.514725050048193,1.8891429740652832e-5
M. cavernosa - P. clivosa,0.28638311226046576,0.10760417954650497,Inf,2.6614497082494375,0.021234915895614437
O. faveolata - P. clivosa,-0.1299198640434533,0.09091792663381534,Inf,-1.4289796177020588,0.32593066694492845
