Term,Chisq,Df,Pr(>Chisq)
Region_name,53.643855446755516,5,2.4804894898208825e-10
STRATA,37.82090660234375,1,7.754625881067708e-10
Region_name:STRATA,47.091623607510286,5,5.442275823854007e-9
