effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),2.689531977995662,0.31239795546947347,8.60931363636429,7.349930591722921e-18
fixed,cond,PRED_1,-7.174485850018556,2.388551375500083,-3.0036975229458722,0.002667203517066586
fixed,cond,SpeciesO. faveolata,-0.8874714797330591,0.2612391067535689,-3.3971616683340806,6.808872756040108e-4
fixed,cond,SpeciesP. clivosa,-1.2132443129985275,0.2840386333626084,-4.271405965573986,1.9424443201482773e-5
fixed,cond,STRATAOffshore,-0.7059757664939074,0.2861590922679542,-2.46707438473716,0.013622205626645989
fixed,cond,PRED_1:SpeciesO. faveolata,7.503514359665002,2.9097771276026183,2.5787247719027846,0.009916576144056236
fixed,cond,PRED_1:SpeciesP. clivosa,3.6474599494579394,2.919995442300012,1.249132069392862,0.2116167728069888
