Term,Chisq,Df,Pr(>Chisq)
Region,104.46907831487765,5,6.033079431573366e-21
STRATA,14.129738947568066,1,1.7062485925932992e-4
SourceNursery,12.68347732459716,4,0.012930544538352984
Region:STRATA,10.797671946309457,5,0.05554245082805735
