effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),-6.032870064413495,0.5776505511793337,-10.443805605476811,1.5641182017794574e-25
fixed,cond,Region_nameBroward-Miami,2.5240729650502622,0.7977271788818773,3.164080442373911,0.0015557378927853662
fixed,cond,Region_nameBiscayne,2.752443918272828,0.796751033663567,3.4545846845240042,5.511410995370376e-4
fixed,cond,Region_nameUpper Keys,4.7977347058232285,0.7987263025793162,6.006731830828618,1.8930023031267587e-9
fixed,cond,Region_nameMiddle Keys,4.685902137953319,0.7987345482184006,5.866657637891527,4.44667502254264e-9
fixed,cond,Region_nameLower Keys,5.1475723952879955,0.7986586735629115,6.445272011288704,1.1539326953517755e-10
fixed,cond,STRATAOffshore,0.9659045061608267,0.8021729783564764,1.2041100014859762,0.22854706476355702
fixed,cond,Region_nameBroward-Miami:STRATAOffshore,-1.5765743746522,1.1194395218946962,-1.4083604730908417,0.15902435729327508
fixed,cond,Region_nameBiscayne:STRATAOffshore,-1.9246845579312035,1.1204959316909453,-1.7177077609078453,0.08584993306078671
fixed,cond,Region_nameUpper Keys:STRATAOffshore,-3.86727497972079,1.1199714226079813,-3.4530121944677825,5.543639416306179e-4
fixed,cond,Region_nameMiddle Keys:STRATAOffshore,-4.706650682970927,1.1393994400533505,-4.130817093214076,3.6147611072870566e-5
fixed,cond,Region_nameLower Keys:STRATAOffshore,-4.8397824399402225,1.1228829647231062,-4.31013969575509,1.631514496146538e-5
