Term,Chisq,Df,Pr(>Chisq)
(Intercept),29.976716896097805,1,4.372653132939851e-8
Species,2.97597428478913,2,0.2258267554691278
Region,86.09471163611452,5,4.437085456265724e-17
STRATA,1.1946107946851088,1,0.27440147347924054
Region:STRATA,12.668276265898454,5,0.026693831436481005
