"contrast","estimate","SE","df","z.ratio","p.value"
"1_3 - 6_1",-1.03838846192763,0.423967025072733,Inf,-2.44921986975165,0.714489270610918
"1_3 - 6_2",-1.90808834509463,0.398561268734263,Inf,-4.78744046343057,0.000431604875005931
"1_3 - 6_3",-1.50953361036964,0.405136415076393,Inf,-3.72598846757579,0.0369884710976827
"1_3 - 6_4",-1.56217380987302,0.402361729665646,Inf,-3.88251092163054,0.0211109688294787
"1_4 - 2_1",-5.4016842518632,51.8054392164795,Inf,-0.104268670115722,1
"1_4 - 2_2",-3.82363057394043,0.57191853895355,Inf,-6.68562096437125,6.33523633553068e-09
"1_4 - 2_3",-5.13590069604104,9.65674594268556,Inf,-0.531845895762765,0.999999999997501
"1_4 - 2_4",-3.51781688417168,0.549385820779018,Inf,-6.4031810635074,4.18567719373542e-08
"1_4 - 3_1",-3.62505033795423,0.555742365451646,Inf,-6.52289723315982,1.8984061544991e-08
"1_4 - 3_2",-5.23215908812178,16.4275410788048,Inf,-0.318499224139663,1
"1_4 - 3_3",-3.34913731102047,0.542446286629862,Inf,-6.17413630357424,1.82583933416858e-07
"1_4 - 3_4",-2.98675493758873,0.53495597940726,Inf,-5.5831789017446,6.39751127085031e-06
"1_4 - 4_1",-2.81278546174667,0.53482611980372,Inf,-5.2592522272079,3.85800290475524e-05
"1_4 - 4_2",-3.26654377484766,0.538050567840471,Inf,-6.07107207034148,3.48241271042049e-07
"1_4 - 4_3",-2.69093599321292,0.534150810369242,Inf,-5.03778322708666,0.00012357350839709
"1_4 - 4_4",-3.38043606031153,0.543706226019154,Inf,-6.21739442835154,1.38799838733661e-07
"1_4 - 5_1",-2.81576461622262,0.533801855230436,Inf,-5.27492474713691,3.54580691523942e-05
"1_4 - 5_2",-5.06657544170399,7.29951093032736,Inf,-0.694097932048274,0.999999999209737
"1_4 - 5_3",-2.23043030100222,0.541249476566302,Inf,-4.12089137739609,0.00839860749140231
"1_4 - 5_4",-3.35494373051224,0.541456000232938,Inf,-6.19615209558843,1.58841067743332e-07
"1_4 - 6_1",-1.83735092150979,0.551827339048792,Inf,-3.32957574134856,0.128753896714125
"1_4 - 6_2",-2.70705080467679,0.532726791589798,Inf,-5.08149927394909,9.86205943019902e-05
"1_4 - 6_3",-2.30849606995179,0.537488074127991,Inf,-4.29497170462255,0.00408114743880794
"1_4 - 6_4",-2.36113626945518,0.535473969370745,Inf,-4.40943239916935,0.00248580956644595
"2_1 - 2_2",1.57805367792277,51.8029996689588,Inf,0.0304625926685162,1
"2_1 - 2_3",0.265783555822157,52.6909125743967,Inf,0.00504420103650482,1
"2_1 - 2_4",1.88386736769152,51.8029621286468,Inf,0.0363660163488943,1
"2_1 - 3_1",1.77663391390897,51.8029675254664,Inf,0.0342959872527684,1
