Term,Chisq,Df,Pr(>Chisq)
Species,3.6366606119862968,2,0.162296510338945
Region,133.87651552002336,5,3.578117098846616e-27
STRATA,6.467470753269783,1,0.01098667836185213
SourceNursery,15.165566380931057,4,0.004369857197209299
