"contrast","estimate","SE","df","z.ratio","p.value"
"O. faveolata Region3 - M. cavernosa Region5",1.18467636764018,0.772215004461135,Inf,1.5341276209297,0.988266111542414
"O. faveolata Region3 - O. faveolata Region5",0.989165490490749,0.704586204646566,Inf,1.4038956254997,0.995618815639155
"O. faveolata Region3 - P. clivosa Region5",0.488489425057311,0.803993175983804,Inf,0.607579068640193,0.999999970234993
"O. faveolata Region3 - M. cavernosa Region6",1.85556808324414,0.741074413318398,Inf,2.50388901559189,0.527198130868414
"O. faveolata Region3 - O. faveolata Region6",2.26614829148461,0.678290367447166,Inf,3.34097077039963,0.0791957553688835
"O. faveolata Region3 - P. clivosa Region6",2.93350945054747,0.723844690050826,Inf,4.05267799967075,0.00645158741821339
"P. clivosa Region3 - M. cavernosa Region4",1.14114312628003,1.05167997626692,Inf,1.0850668949034,0.999830379266338
"P. clivosa Region3 - O. faveolata Region4",1.58963937641056,0.940958857168468,Inf,1.68938244674597,0.968896658316309
"P. clivosa Region3 - P. clivosa Region4",2.21794215053156,0.971558029604162,Inf,2.28287151456636,0.696062268290944
"P. clivosa Region3 - M. cavernosa Region5",1.83108734926496,0.994605906755698,Inf,1.84101797186966,0.932452492018798
"P. clivosa Region3 - O. faveolata Region5",1.63557647211553,0.943065963730379,Inf,1.73431820786519,0.960196596669409
"P. clivosa Region3 - P. clivosa Region5",1.13490040668209,1.01944298282093,Inf,1.11325540104428,0.99976030907223
"P. clivosa Region3 - M. cavernosa Region6",2.50197906486892,0.970771195587432,Inf,2.57731077749472,0.470603780860903
"P. clivosa Region3 - O. faveolata Region6",2.91255927310939,0.923743324921988,Inf,3.15299628644717,0.13517737221502
"P. clivosa Region3 - P. clivosa Region6",3.57992043217225,0.957705277915515,Inf,3.73801890281329,0.0213582134823247
"M. cavernosa Region4 - O. faveolata Region4",0.44849625013053,0.600221933649579,Inf,0.747217362423765,0.999999249215083
"M. cavernosa Region4 - P. clivosa Region4",1.07679902425153,0.649692837968557,Inf,1.65739709801702,0.974144886647099
"M. cavernosa Region4 - M. cavernosa Region5",0.689944222984932,0.859527616190387,Inf,0.802701635164341,0.999997772716501
"M. cavernosa Region4 - O. faveolata Region5",0.4944333458355,0.79919975929441,Inf,0.618660528967151,0.99999996036482
"M. cavernosa Region4 - P. clivosa Region5",-0.00624271959793887,0.889241642803279,Inf,-0.00702027356507854,1
"M. cavernosa Region4 - M. cavernosa Region6",1.36083593858889,0.82685489562386,Inf,1.64579776426448,0.975868383234959
"M. cavernosa Region4 - O. faveolata Region6",1.77141614682936,0.770746589804822,Inf,2.29831201365151,0.68478697004716
"M. cavernosa Region4 - P. clivosa Region6",2.43877730589222,0.81069806134602,Inf,3.00824366329811,0.19588218533408
"O. faveolata Region4 - P. clivosa Region4",0.628302774121,0.448812396124386,Inf,1.39992295120759,0.995759974739076
"O. faveolata Region4 - M. cavernosa Region5",0.241447972854401,0.719825501104881,Inf,0.335425700372932,0.999999999998296
"O. faveolata Region4 - O. faveolata Region5",0.0459370957049692,0.646595666972228,Inf,0.0710445461536664,1
"O. faveolata Region4 - P. clivosa Region5",-0.454738969728469,0.755027455960687,Inf,-0.602281368893884,0.999999974098268
"O. faveolata Region4 - M. cavernosa Region6",0.91233968845836,0.680619355692592,Inf,1.34045510288195,0.997456330255447
"O. faveolata Region4 - O. faveolata Region6",1.32291989669883,0.611241913002621,Inf,2.16431476401906,0.777418003063048
"O. faveolata Region4 - P. clivosa Region6",1.99028105576169,0.660919381138907,Inf,3.01138249620099,0.194388932526082
"P. clivosa Region4 - M. cavernosa Region5",-0.386854801266599,0.759465556845661,Inf,-0.509377677209416,0.99999999823956
"P. clivosa Region4 - O. faveolata Region5",-0.582365678416031,0.690418978462552,Inf,-0.843496045999288,0.999995324642326
"P. clivosa Region4 - P. clivosa Region5",-1.08304174384947,0.793195716290046,Inf,-1.36541552306296,0.996832685265916
"P. clivosa Region4 - M. cavernosa Region6",0.28403691433736,0.721076233472635,Inf,0.393906914626024,0.999999999973881
"P. clivosa Region4 - O. faveolata Region6",0.694617122577827,0.65589457729645,Inf,1.05903775792901,0.999878203708572
"P. clivosa Region4 - P. clivosa Region6",1.36197828164069,0.70230177773306,Inf,1.93930632788228,0.896906025278885
"M. cavernosa Region5 - O. faveolata Region5",-0.195510877149432,0.491590867204332,Inf,-0.397710556059144,0.99999999996939
"M. cavernosa Region5 - P. clivosa Region5",-0.69618694258287,0.620665492596149,Inf,-1.12167818396158,0.999734887377803
"M. cavernosa Region5 - M. cavernosa Region6",0.670891715603959,0.758500335154586,Inf,0.8844975862367,0.999990579306783
"M. cavernosa Region5 - O. faveolata Region6",1.08147192384443,0.697334160660432,Inf,1.55086611965228,0.986837022036326
"M. cavernosa Region5 - P. clivosa Region6",1.74883308290729,0.741778096397246,Inf,2.35762297565974,0.640417649030486
"O. faveolata Region5 - P. clivosa Region5",-0.500676065433438,0.535344219994821,Inf,-0.935241376918726,0.999978811725575
"O. faveolata Region5 - M. cavernosa Region6",0.866402592753391,0.689338902308938,Inf,1.25686014506272,0.998843751815895
"O. faveolata Region5 - O. faveolata Region6",1.27698280099386,0.621386805417532,Inf,2.05505297161211,0.841884742816359
"O. faveolata Region5 - P. clivosa Region6",1.94434396005672,0.670862643513024,Inf,2.89827430228492,0.253250398076359
"P. clivosa Region5 - M. cavernosa Region6",1.36707865818683,0.792425069160155,Inf,1.72518350490314,0.962097649586615
"P. clivosa Region5 - O. faveolata Region6",1.7776588664273,0.734214869551722,Inf,2.42116979667363,0.591561002882776
"P. clivosa Region5 - P. clivosa Region6",2.44502002549016,0.776705166737022,Inf,3.14793840726181,0.13702457196404
"M. cavernosa Region6 - O. faveolata Region6",0.410580208240467,0.409590134420052,Inf,1.00241723063427,0.99994318478619
"M. cavernosa Region6 - P. clivosa Region6",1.07794136730333,0.481859716140575,Inf,2.2370439594682,0.728694768952963
"O. faveolata Region6 - P. clivosa Region6",0.667361159062867,0.375891499918967,Inf,1.77540901884383,0.950756394185271
