Term,Chisq,Df,Pr(>Chisq)
SourceNursery,2.032012237811195,3,0.5657891008116361
STRATA,4.457094690504704,2,0.10768474532885443
Region,4.27515998615905,5,0.5105172234192418
SourceNursery:STRATA,6.712145192755682e-4,2,0.999664449050179
