"contrast","estimate","SE","df","z.ratio","p.value"
"FWC - MML",1.6836578752248,0.437304357428552,Inf,3.85008254920004,0.00068208233953837
"FWC - RR",0.615254929631447,0.401381452920233,Inf,1.53284344644025,0.417733917548892
"FWC - UM",0.841269411050358,0.404825087391325,Inf,2.07810592093356,0.160244506437152
"MML - RR",-1.06840294559336,0.457036460596715,Inf,-2.33767551980083,0.089629240091536
"MML - UM",-0.842388464174445,0.461793512466338,Inf,-1.82416695218483,0.261852765295155
"RR - UM",0.226014481418911,0.428421712475452,Inf,0.527551416834088,0.952435604241314
