"contrast","estimate","SE","df","z.ratio","p.value"
"Region1 - Region2",-6.27342881860962,0.679468954818917,Inf,-9.23284099165579,6.66133814775094e-14
"Region1 - Region3",-4.95584885236634,0.537830910757687,Inf,-9.21451101682613,6.72795152922845e-14
"Region1 - Region4",-3.9550137134704,0.488819116306203,Inf,-8.09095549158706,8.47100167788994e-14
"Region1 - Region5",-4.01818184910523,0.505592990578806,Inf,-7.9474635210136,1.11688436277291e-13
"Region1 - Region6",-2.6368902221777,0.46598938798451,Inf,-5.65869157145988,2.28072925545497e-07
"Region2 - Region3",1.31757996624328,0.690169679101914,Inf,1.90906672103849,0.396435065833528
"Region2 - Region4",2.31841510513921,0.658329748749762,Inf,3.52166237290982,0.00573125586057033
"Region2 - Region5",2.25524696950438,0.663111166630795,Inf,3.4010088850759,0.00879149353765729
"Region2 - Region6",3.63653859643192,0.644848629636802,Inf,5.63936779780415,2.55170980678621e-07
"Region3 - Region4",1.00083513889593,0.508632552598119,Inf,1.96769776881881,0.361031137482897
"Region3 - Region5",0.937667003261104,0.511721432055295,Inf,1.83237782223626,0.444731868243576
"Region3 - Region6",2.31895863018864,0.492079342966781,Inf,4.71257057085038,3.60170990990616e-05
"Region4 - Region5",-0.063168135634831,0.471686764107653,Inf,-0.133919669665385,0.999994028294947
"Region4 - Region6",1.31812349129271,0.440690426451301,Inf,2.99104181115758,0.0331556723840387
"Region5 - Region6",1.38129162692754,0.455023125212243,Inf,3.03565148756613,0.02897606981388
