Region,Site,mean_rugosity,std_dev_rugosity,avg_depth,Habitat,rugosity_range
1,1,0.1525,0.18317359007936732,3.25,cont_other,1
1,2,0.17675000000000002,0.2630042165987419,4,cont_other,1.1
1,3,0.096,0.10477815391798781,16.25,cont_other,0.4
1,4,0.05375,0.05328623721865783,15.5,cont_other,0.2
2,1,0.19075,0.14548570288378768,8.869999999999997,cont_other,0.57
2,2,0.39,0.21220454573540412,8.532499999999999,cont_other,0.81
2,3,0.17075,0.12377372862379116,5.4,cont_other,0.51
2,4,0.19075,0.11772169483955555,9.42,cont_other,0.49000000000000005
3,1,0.19175,0.08335550986972022,3.8,cont_other,0.4
3,2,0.60525,0.36497268952972917,6,spur_and_grv,1.17
3,3,0.366,0.17430889175136693,2.625,isolated_reef,0.75
3,4,0.33,0.19460676985088382,5.725,cont_other,0.7000000000000001
4,1,0.445,0.23804761428476173,3.2100000000000004,isolated_reef,0.8999999999999999
4,2,0.2805,0.0971372278050029,5.845,cont_other,0.45000000000000007
4,2,0.2805,0.0971372278050029,5.845,reef_rubble,0.45000000000000007
4,2,0.2805,0.0971372278050029,5.845,isolated_reef,0.45000000000000007
4,3,0.4205,0.1471080189206871,4.3625,isolated_reef,0.49999999999999994
4,3,0.4205,0.1471080189206871,4.3625,cont_other,0.49999999999999994
4,4,0.2735,0.21853298759378792,6.9025,cont_other,0.98
4,4,0.2735,0.21853298759378792,6.9025,spur_and_grv,0.98
5,1,0.333,0.13414878842500752,11.299999999999999,cont_other,0.6
5,2,0.227,0.15546786295005283,12.149999999999999,reef_rubble,0.5499999999999999
5,2,0.227,0.15546786295005283,12.149999999999999,cont_other,0.5499999999999999
5,3,0.31375,0.18256979697976,14.125,isolated_reef,0.75
5,4,1.013,0.9588941280026427,11.65,spur_and_grv,3.4
6,1,0.24725,0.2070053572947279,6.175,isolated_reef,0.8
6,2,0.2775,0.19358626249205038,8,spur_and_grv,0.76
6,3,0.2515,0.18081794215488736,8.975,isolated_reef,0.71
6,4,0.165,0.14096735392208679,6.125,spur_and_grv,0.85
